business_id,name,city,state,stars,review_count,aspect,biz_avg_aspect_stars,biz_avg_aspect_confidence
--ZVrH2X2QXBFdCilbirsw,Chris's Sandwich Shop,Ardmore,PA,4.5,32.0,food,4.625,0.5735370395705104
--ZVrH2X2QXBFdCilbirsw,Chris's Sandwich Shop,Ardmore,PA,4.5,32.0,price,4.0,0.5135034670432409
--ZVrH2X2QXBFdCilbirsw,Chris's Sandwich Shop,Ardmore,PA,4.5,32.0,service,4.285714285714286,0.5636817472321647
--_9CAxgfXZmoFdNIRrhHA,USPS,St. Petersburg,FL,3.5,11.0,service,3.25,0.5310091525316238
-02xFuruu85XmDn2xiynJw,Family Vision Center,Tucson,AZ,4.5,109.0,price,4.3,0.565955200791359
-02xFuruu85XmDn2xiynJw,Family Vision Center,Tucson,AZ,4.5,109.0,service,4.333333333333333,0.5625272870063782
-0Ym1Wg3bXd_TDz8JtvOQg,Yelo'd Ice Cream,Edmonton,AB,4.5,105.0,ambiance,4.0,0.561178132891655
-0Ym1Wg3bXd_TDz8JtvOQg,Yelo'd Ice Cream,Edmonton,AB,4.5,105.0,food,3.721875,0.507897554213802
-0Ym1Wg3bXd_TDz8JtvOQg,Yelo'd Ice Cream,Edmonton,AB,4.5,105.0,price,4.166666666666667,0.4968052456776301
-0Ym1Wg3bXd_TDz8JtvOQg,Yelo'd Ice Cream,Edmonton,AB,4.5,105.0,service,5.0,0.7689083933830261
-0fvhILrC9UsQ6gLNpZlTQ,David's Southern Fried Pies,Philadelphia,PA,4.5,18.0,food,3.25,0.5423539653420448
-0fvhILrC9UsQ6gLNpZlTQ,David's Southern Fried Pies,Philadelphia,PA,4.5,18.0,service,5.0,0.6696001489957174
-1MhPXk1FglglUAmuPLIGg,Red Garter Saloon,Tucson,AZ,4.0,107.0,ambiance,3.941176470588235,0.5683497894628375
-1MhPXk1FglglUAmuPLIGg,Red Garter Saloon,Tucson,AZ,4.0,107.0,food,3.9791666666666665,0.5759937786600656
-1MhPXk1FglglUAmuPLIGg,Red Garter Saloon,Tucson,AZ,4.0,107.0,price,3.5652173913043477,0.541501307617063
-1MhPXk1FglglUAmuPLIGg,Red Garter Saloon,Tucson,AZ,4.0,107.0,service,3.585964912280702,0.5406493859463616
-1VF4NdEN07IB8nePQbAqQ,Fantastic Sams Cut & Color,South Pasadena,FL,3.5,13.0,service,5.0,0.8995814919471741
-1ueCbvIpUPi8KT95ETTKw,Hyatt Place Reno-Tahoe Airport,Reno,NV,4.0,167.0,ambiance,3.9,0.6470993161201477
-1ueCbvIpUPi8KT95ETTKw,Hyatt Place Reno-Tahoe Airport,Reno,NV,4.0,167.0,food,3.9975490196078423,0.5140526819901139
-1ueCbvIpUPi8KT95ETTKw,Hyatt Place Reno-Tahoe Airport,Reno,NV,4.0,167.0,price,3.6666666666666665,0.4768545113694973
-1ueCbvIpUPi8KT95ETTKw,Hyatt Place Reno-Tahoe Airport,Reno,NV,4.0,167.0,service,4.201690821256039,0.5787881998264272
-2Axhv9AZ_n7qjQefECpVw,Greek Sotir Grill,Hermitage,TN,3.5,21.0,food,3.5,0.5498293992131948
-2Axhv9AZ_n7qjQefECpVw,Greek Sotir Grill,Hermitage,TN,3.5,21.0,price,3.5,0.5267523378133774
-2Axhv9AZ_n7qjQefECpVw,Greek Sotir Grill,Hermitage,TN,3.5,21.0,service,5.0,0.8068178653717041
-2bLM6nIETD4Mk-rhjIYZQ,My Dad's Sweet Corn,Indianapolis,IN,5.0,8.0,food,5.0,0.7468582987785339
-2ke_JDOpgTZWqirMFjZcw,Nite Owls Saloon & Grill,Beech Grove,IN,3.5,17.0,ambiance,3.0,0.431314006447792
-2ke_JDOpgTZWqirMFjZcw,Nite Owls Saloon & Grill,Beech Grove,IN,3.5,17.0,food,3.734848484848485,0.5335300648302742
-2ke_JDOpgTZWqirMFjZcw,Nite Owls Saloon & Grill,Beech Grove,IN,3.5,17.0,price,4.0,0.4106325209140777
-2ke_JDOpgTZWqirMFjZcw,Nite Owls Saloon & Grill,Beech Grove,IN,3.5,17.0,service,2.35,0.4544152453541755
-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,Santa Barbara,CA,3.0,436.0,ambiance,4.109375,0.5737616010010242
-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,Santa Barbara,CA,3.0,436.0,food,3.72336860670194,0.5611756903837176
-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,Santa Barbara,CA,3.0,436.0,price,2.9212962962962963,0.5293653047195188
-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,Santa Barbara,CA,3.0,436.0,service,3.5657738095238094,0.5513839900804063
-3YTjk_J0pmtcnaqrI-tAA,Tulane Lakeside Hospital,Metairie,LA,2.5,21.0,service,5.0,0.7014796137809753
-3dkEoYgH8AlUtBMZvzUfg,Dunkin',Apollo Beach,FL,2.5,18.0,food,2.12,0.4464486563205719
-3dkEoYgH8AlUtBMZvzUfg,Dunkin',Apollo Beach,FL,2.5,18.0,service,3.0,0.4815034195780754
-3k7-21VyAT9dfuvIuzz_w,Buckle,Boise,ID,3.5,5.0,price,2.5,0.4850949272513389
-3k7-21VyAT9dfuvIuzz_w,Buckle,Boise,ID,3.5,5.0,service,5.0,0.861251175403595
-49YlJ2GGzgmQ71FX9gGyg,Pineapple Asian Restaurant,Berlin Township,NJ,4.0,27.0,food,3.869047619047619,0.5241545552299136
-49YlJ2GGzgmQ71FX9gGyg,Pineapple Asian Restaurant,Berlin Township,NJ,4.0,27.0,price,2.5,0.6630839407444
-49YlJ2GGzgmQ71FX9gGyg,Pineapple Asian Restaurant,Berlin Township,NJ,4.0,27.0,service,5.0,0.6869939565658569
-4E0hSCldRJZLI-1cT38Sw,Smoothie King,Smyrna,TN,3.0,13.0,service,3.5,0.5931875556707382
-4dYswJy7SPcbcERvitmIg,Pathmark,Philadelphia,PA,2.5,34.0,ambiance,4.0,0.5161214470863342
-4dYswJy7SPcbcERvitmIg,Pathmark,Philadelphia,PA,2.5,34.0,food,2.357142857142857,0.5205801831824439
-4dYswJy7SPcbcERvitmIg,Pathmark,Philadelphia,PA,2.5,34.0,price,2.441666666666667,0.4460538613299529
-4dYswJy7SPcbcERvitmIg,Pathmark,Philadelphia,PA,2.5,34.0,service,1.8703703703703705,0.5448709486259354
-5HAZGNFs5-MkwT1iwROkQ,Tim Moye Transmission,Lutz,FL,5.0,10.0,service,3.0,0.3929571956396102
-5fXJjU1oeWnCHW5MPOuxg,Studio Flava,Tampa,FL,4.0,19.0,ambiance,5.0,0.5013280510902405
-5fXJjU1oeWnCHW5MPOuxg,Studio Flava,Tampa,FL,4.0,19.0,price,3.875,0.3947923928499221
-5fXJjU1oeWnCHW5MPOuxg,Studio Flava,Tampa,FL,4.0,19.0,service,5.0,0.5013280510902405
-5iuX3tPbwH5LpoWN9QhMQ,TLC Pediatric Dentistry & Orthodontics,Tampa,FL,4.5,11.0,ambiance,4.0,0.5973720550537109
-5iuX3tPbwH5LpoWN9QhMQ,TLC Pediatric Dentistry & Orthodontics,Tampa,FL,4.5,11.0,food,5.0,0.4455789923667907
-5iuX3tPbwH5LpoWN9QhMQ,TLC Pediatric Dentistry & Orthodontics,Tampa,FL,4.5,11.0,price,1.0,0.6111952066421509
-5iuX3tPbwH5LpoWN9QhMQ,TLC Pediatric Dentistry & Orthodontics,Tampa,FL,4.5,11.0,service,4.666666666666667,0.5868999014298121
-5jrwZnndGs9q3akdkJYJA,Rick Bronson's The Comic Strip,Edmonton,AB,3.5,52.0,ambiance,3.6666666666666665,0.514788289864858
-5jrwZnndGs9q3akdkJYJA,Rick Bronson's The Comic Strip,Edmonton,AB,3.5,52.0,food,3.182716049382716,0.4937637013969598
-5jrwZnndGs9q3akdkJYJA,Rick Bronson's The Comic Strip,Edmonton,AB,3.5,52.0,price,2.3181818181818183,0.4126703522422097
-5jrwZnndGs9q3akdkJYJA,Rick Bronson's The Comic Strip,Edmonton,AB,3.5,52.0,service,3.267361111111111,0.4796164881231056
-6KL5N_AdaZnw3W1HHtEtA,Unique Thriftique,Tucson,AZ,2.5,8.0,price,2.083333333333333,0.4384849642713864
-6KL5N_AdaZnw3W1HHtEtA,Unique Thriftique,Tucson,AZ,2.5,8.0,service,2.875,0.4385068342089653
-6OjnX3ZdDOhHxWR60wysg,BlackFinn American Grille,Saint Louis,MO,3.0,75.0,ambiance,4.4375,0.5024413410574198
-6OjnX3ZdDOhHxWR60wysg,BlackFinn American Grille,Saint Louis,MO,3.0,75.0,food,3.354163961038961,0.4931245673441397
-6OjnX3ZdDOhHxWR60wysg,BlackFinn American Grille,Saint Louis,MO,3.0,75.0,price,3.0,0.5091357339512218
-6OjnX3ZdDOhHxWR60wysg,BlackFinn American Grille,Saint Louis,MO,3.0,75.0,service,3.332124542124542,0.5426386062116612
-6TttC-1-rf5gC0QHWrs_w,Goody's Cafe,Terrytown,LA,3.5,31.0,ambiance,4.0,0.6828876733779907
-6TttC-1-rf5gC0QHWrs_w,Goody's Cafe,Terrytown,LA,3.5,31.0,food,3.880952380952381,0.5869228606600136
-6TttC-1-rf5gC0QHWrs_w,Goody's Cafe,Terrytown,LA,3.5,31.0,price,3.625,0.5124310813844204
-6TttC-1-rf5gC0QHWrs_w,Goody's Cafe,Terrytown,LA,3.5,31.0,service,4.166666666666667,0.6219522031870756
-6xYpkvG91ClVz31JjhJCA,Great Clips,Chesterfield,MO,4.0,5.0,price,3.0,0.5200074166059494
-6xYpkvG91ClVz31JjhJCA,Great Clips,Chesterfield,MO,4.0,5.0,service,5.0,0.5654990077018738
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,Bala Cynwyd,PA,4.0,92.0,ambiance,4.25,0.5987983428769641
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,Bala Cynwyd,PA,4.0,92.0,food,4.321241830065359,0.6021064699767461
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,Bala Cynwyd,PA,4.0,92.0,price,3.4545454545454546,0.553033406084234
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,Bala Cynwyd,PA,4.0,92.0,service,4.444444444444445,0.6183645491614754
-7GjicSH_rM8JeZGCXGcUg,Double Decker,Tampa,FL,3.0,86.0,ambiance,3.888888888888889,0.4983627266354031
-7GjicSH_rM8JeZGCXGcUg,Double Decker,Tampa,FL,3.0,86.0,food,2.729166666666667,0.51087832848231
-7GjicSH_rM8JeZGCXGcUg,Double Decker,Tampa,FL,3.0,86.0,price,3.2,0.5126287251710892
-7GjicSH_rM8JeZGCXGcUg,Double Decker,Tampa,FL,3.0,86.0,service,4.0,0.5095023470265525
-7Rx5jVeQmlVoAU_oXrzew,McDonald's,Cherry Hill,NJ,1.0,11.0,food,2.3333333333333335,0.396770824988683
-7Rx5jVeQmlVoAU_oXrzew,McDonald's,Cherry Hill,NJ,1.0,11.0,service,1.0,0.707248921195666
-97632CUoOkJ8x4AlkPJxQ,Abner's Pizza & Grill,Woodlyn,PA,1.5,5.0,food,1.5,0.42608842253685
-97632CUoOkJ8x4AlkPJxQ,Abner's Pizza & Grill,Woodlyn,PA,1.5,5.0,price,1.0,0.5774907469749451
-9n0NDe_pP1ZnrWr-lsDXQ,Ralph's Barber Shop,Glenside,PA,3.5,18.0,ambiance,5.0,0.7102959156036377
-9n0NDe_pP1ZnrWr-lsDXQ,Ralph's Barber Shop,Glenside,PA,3.5,18.0,price,5.0,0.7432953119277954
-9n0NDe_pP1ZnrWr-lsDXQ,Ralph's Barber Shop,Glenside,PA,3.5,18.0,service,5.0,0.6938086152076721
-9yzQQ0d_rcOD2CzdTNO_Q,McDonald's,New Orleans,LA,2.0,20.0,ambiance,5.0,0.6050096750259399
